,unique_id,ds,cutoff,NHITS,Real_value
0,BTC,2022-04-29,2022-04-28,0.008702621,0.007457786580099371
1,BTC,2022-04-30,2022-04-28,0.008763484,0.005442896739920222
2,BTC,2022-05-01,2022-04-28,0.008946072,0.007540018039389996
3,BTC,2022-05-02,2022-04-28,0.00912866,0.007785433454798023
4,BTC,2022-05-03,2022-04-28,0.009015208,0.0051109313665430875
5,BTC,2022-05-04,2022-04-28,0.008901755,0.007769472055470699
6,BTC,2022-05-05,2022-04-28,0.008863938,0.012345491309842404
13,BTC,2022-05-06,2022-04-29,0.00941719,0.008933187451255391
20,BTC,2022-05-07,2022-04-30,0.0074209976,0.007161568984853121
27,BTC,2022-05-08,2022-05-01,0.008732712,0.00954634087675491
34,BTC,2022-05-09,2022-05-02,0.008326759,0.017548761345909533
41,BTC,2022-05-10,2022-05-03,0.007265723,0.019765491443525445
48,BTC,2022-05-11,2022-05-04,0.0087217195,0.033648370566429595
55,BTC,2022-05-12,2022-05-05,0.010867397,0.029890492585849228
62,BTC,2022-05-13,2022-05-06,0.009621984,0.015466224206770428
69,BTC,2022-05-14,2022-05-07,0.009070538,0.01195376542550756
76,BTC,2022-05-15,2022-05-08,0.0101699075,0.010378170117654488
83,BTC,2022-05-16,2022-05-09,0.012044631,0.013481059957886055
90,BTC,2022-05-17,2022-05-10,0.012047962,0.010260367216851805
97,BTC,2022-05-18,2022-05-11,0.016417695,0.009657862292070022
104,BTC,2022-05-19,2022-05-12,0.016667668,0.010042510509422635
111,BTC,2022-05-20,2022-05-13,0.011848232,0.010714755611841917
118,BTC,2022-05-21,2022-05-14,0.010916038,0.004817360977505108
125,BTC,2022-05-22,2022-05-15,0.013244277,0.007763228852847239
132,BTC,2022-05-23,2022-05-16,0.013498416,0.009222038108099191
139,BTC,2022-05-24,2022-05-17,0.013751625,0.007527076373045803
146,BTC,2022-05-25,2022-05-18,0.014626233,0.007989723281402981
153,BTC,2022-05-26,2022-05-19,0.020452451,0.011579868523878075
160,BTC,2022-05-27,2022-05-20,0.017206945,0.010123111408144623
167,BTC,2022-05-28,2022-05-21,0.017248515,0.005036616182512311
174,BTC,2022-05-29,2022-05-22,0.015799316,0.0043867743706035404
181,BTC,2022-05-30,2022-05-23,0.015674155,0.010985788505857881
188,BTC,2022-05-31,2022-05-24,0.010845135,0.00843062154040176
195,BTC,2022-06-01,2022-05-25,0.010152285,0.010057582808408662
202,BTC,2022-06-02,2022-05-26,0.009561731,0.006689329394417886
209,BTC,2022-06-03,2022-05-27,0.010703234,0.007055947707981007
216,BTC,2022-06-04,2022-05-28,0.007905665,0.004435380047156246
223,BTC,2022-06-05,2022-05-29,0.00761534,0.00466874199125385
230,BTC,2022-06-06,2022-05-30,0.010600334,0.007979463906419005
237,BTC,2022-06-07,2022-05-31,0.009995805,0.01607361445920668
244,BTC,2022-06-08,2022-06-01,0.010459321,0.012206535232648977
251,BTC,2022-06-09,2022-06-02,0.0086312285,0.00564082781802718
258,BTC,2022-06-10,2022-06-03,0.009800253,0.008773355794117286
265,BTC,2022-06-11,2022-06-04,0.007822135,0.008421303827136148
272,BTC,2022-06-12,2022-06-05,0.0083315475,0.013739202804655517
279,BTC,2022-06-13,2022-06-06,0.009246246,0.023680516849632936
286,BTC,2022-06-14,2022-06-07,0.013003539,0.027043638866488452
293,BTC,2022-06-15,2022-06-08,0.0120089045,0.028586690450177463
300,BTC,2022-06-16,2022-06-09,0.008865327,0.014351913831278141
307,BTC,2022-06-17,2022-06-10,0.009575024,0.013609761195769692
314,BTC,2022-06-18,2022-06-11,0.01145543,0.02375417751688861
321,BTC,2022-06-19,2022-06-12,0.011931195,0.024905417363474854
328,BTC,2022-06-20,2022-06-13,0.014260898,0.018072138782730073
335,BTC,2022-06-21,2022-06-14,0.015621422,0.013655886459304942
342,BTC,2022-06-22,2022-06-15,0.017986223,0.014221995720208106
349,BTC,2022-06-23,2022-06-16,0.013670389,0.012471615643101102
356,BTC,2022-06-24,2022-06-17,0.0147123,0.010069003579168654
363,BTC,2022-06-25,2022-06-18,0.018201847,0.007727528684068052
370,BTC,2022-06-26,2022-06-19,0.019545475,0.008110220063648822
377,BTC,2022-06-27,2022-06-20,0.017538551,0.008416385731782241
384,BTC,2022-06-28,2022-06-21,0.018291328,0.008270978606083718
391,BTC,2022-06-29,2022-06-22,0.01927917,0.008150403141220522
398,BTC,2022-06-30,2022-06-23,0.020424347,0.017136908485843694
405,BTC,2022-07-01,2022-06-24,0.019836556,0.015693119028413166
412,BTC,2022-07-02,2022-06-25,0.016610708,0.006188759424697402
