,unique_id,ds,cutoff,NBEATSx,Real_value
0,BTC,2022-04-29,2022-04-28,0.009183663,0.007457786580099371
1,BTC,2022-04-30,2022-04-28,0.008159932,0.005442896739920222
2,BTC,2022-05-01,2022-04-28,0.008442906,0.007540018039389996
3,BTC,2022-05-02,2022-04-28,0.008324642,0.007785433454798023
4,BTC,2022-05-03,2022-04-28,0.008090533,0.0051109313665430875
5,BTC,2022-05-04,2022-04-28,0.008474568,0.007769472055470699
6,BTC,2022-05-05,2022-04-28,0.008885504,0.012345491309842404
7,BTC,2022-05-06,2022-04-28,0.008123036,0.008933187451255391
8,BTC,2022-05-07,2022-04-28,0.0081377365,0.007161568984853121
9,BTC,2022-05-08,2022-04-28,0.008658933,0.00954634087675491
10,BTC,2022-05-09,2022-04-28,0.008776933,0.017548761345909533
11,BTC,2022-05-10,2022-04-28,0.008624185,0.019765491443525445
12,BTC,2022-05-11,2022-04-28,0.008321368,0.033648370566429595
13,BTC,2022-05-12,2022-04-28,0.008207012,0.029890492585849228
14,BTC,2022-05-13,2022-04-28,0.008782578,0.015466224206770428
15,BTC,2022-05-14,2022-04-28,0.008300078,0.01195376542550756
16,BTC,2022-05-15,2022-04-28,0.008704964,0.010378170117654488
17,BTC,2022-05-16,2022-04-28,0.009040674,0.013481059957886055
18,BTC,2022-05-17,2022-04-28,0.0091951275,0.010260367216851805
19,BTC,2022-05-18,2022-04-28,0.00887177,0.009657862292070022
20,BTC,2022-05-19,2022-04-28,0.009096027,0.010042510509422635
21,BTC,2022-05-20,2022-04-28,0.009841213,0.010714755611841917
22,BTC,2022-05-21,2022-04-28,0.009106733,0.004817360977505108
23,BTC,2022-05-22,2022-04-28,0.009443958,0.007763228852847239
24,BTC,2022-05-23,2022-04-28,0.009413356,0.009222038108099191
25,BTC,2022-05-24,2022-04-28,0.0092327,0.007527076373045803
26,BTC,2022-05-25,2022-04-28,0.0097409,0.007989723281402981
27,BTC,2022-05-26,2022-04-28,0.009783599,0.011579868523878075
55,BTC,2022-05-27,2022-04-29,0.009374634,0.010123111408144623
83,BTC,2022-05-28,2022-04-30,0.008459115,0.005036616182512311
111,BTC,2022-05-29,2022-05-01,0.008705351,0.0043867743706035404
139,BTC,2022-05-30,2022-05-02,0.009411776,0.010985788505857881
167,BTC,2022-05-31,2022-05-03,0.0070232507,0.00843062154040176
195,BTC,2022-06-01,2022-05-04,0.009378517,0.010057582808408662
223,BTC,2022-06-02,2022-05-05,0.007730028,0.006689329394417886
251,BTC,2022-06-03,2022-05-06,0.009093234,0.007055947707981007
279,BTC,2022-06-04,2022-05-07,0.0082770465,0.004435380047156246
307,BTC,2022-06-05,2022-05-08,0.008514344,0.00466874199125385
335,BTC,2022-06-06,2022-05-09,0.009317014,0.007979463906419005
363,BTC,2022-06-07,2022-05-10,0.011234989,0.01607361445920668
391,BTC,2022-06-08,2022-05-11,0.011535628,0.012206535232648977
419,BTC,2022-06-09,2022-05-12,0.010507746,0.00564082781802718
447,BTC,2022-06-10,2022-05-13,0.011184033,0.008773355794117286
475,BTC,2022-06-11,2022-05-14,0.012493082,0.008421303827136148
503,BTC,2022-06-12,2022-05-15,0.011698479,0.013739202804655517
531,BTC,2022-06-13,2022-05-16,0.011022673,0.023680516849632936
559,BTC,2022-06-14,2022-05-17,0.011186684,0.027043638866488452
587,BTC,2022-06-15,2022-05-18,0.01212178,0.028586690450177463
615,BTC,2022-06-16,2022-05-19,0.011065467,0.014351913831278141
643,BTC,2022-06-17,2022-05-20,0.00970071,0.013609761195769692
671,BTC,2022-06-18,2022-05-21,0.009331243,0.02375417751688861
699,BTC,2022-06-19,2022-05-22,0.009381416,0.024905417363474854
727,BTC,2022-06-20,2022-05-23,0.010812365,0.018072138782730073
755,BTC,2022-06-21,2022-05-24,0.009665096,0.013655886459304942
783,BTC,2022-06-22,2022-05-25,0.011189354,0.014221995720208106
811,BTC,2022-06-23,2022-05-26,0.009831285,0.012471615643101102
839,BTC,2022-06-24,2022-05-27,0.010584066,0.010069003579168654
867,BTC,2022-06-25,2022-05-28,0.009638209,0.007727528684068052
895,BTC,2022-06-26,2022-05-29,0.009145231,0.008110220063648822
923,BTC,2022-06-27,2022-05-30,0.0111830365,0.008416385731782241
951,BTC,2022-06-28,2022-05-31,0.009758838,0.008270978606083718
979,BTC,2022-06-29,2022-06-01,0.0088706175,0.008150403141220522
1007,BTC,2022-06-30,2022-06-02,0.009227262,0.017136908485843694
1035,BTC,2022-07-01,2022-06-03,0.010090848,0.015693119028413166
1063,BTC,2022-07-02,2022-06-04,0.009448253,0.006188759424697402
1091,BTC,2022-07-03,2022-06-05,0.0076403385,0.00881182302833929
1119,BTC,2022-07-04,2022-06-06,0.010054151,0.009807204003711704
1147,BTC,2022-07-05,2022-06-07,0.01088506,0.011908736001504808
1175,BTC,2022-07-06,2022-06-08,0.0107313385,0.009551495988334154
1203,BTC,2022-07-07,2022-06-09,0.008823079,0.010290041840020277
1231,BTC,2022-07-08,2022-06-10,0.011237053,0.013702277054962226
1259,BTC,2022-07-09,2022-06-11,0.010309436,0.0072270199969247054
1287,BTC,2022-07-10,2022-06-12,0.010580839,0.007900373970052872
1315,BTC,2022-07-11,2022-06-13,0.009562368,0.008083414270480262
1343,BTC,2022-07-12,2022-06-14,0.012009767,0.008516181712098711
1371,BTC,2022-07-13,2022-06-15,0.012450724,0.015500303196738542
1399,BTC,2022-07-14,2022-06-16,0.012922811,0.011653260355441413
1427,BTC,2022-07-15,2022-06-17,0.011429719,0.009656383797987868
1455,BTC,2022-07-16,2022-06-18,0.012493623,0.008885391936861808
1483,BTC,2022-07-17,2022-06-19,0.012294647,0.008793832328690694
1511,BTC,2022-07-18,2022-06-20,0.0117656775,0.015940055263382227
1539,BTC,2022-07-19,2022-06-21,0.012114966,0.014505464781709628
1567,BTC,2022-07-20,2022-06-22,0.00978926,0.01475158400661286
1595,BTC,2022-07-21,2022-06-23,0.009340278,0.011832507067399467
1623,BTC,2022-07-22,2022-06-24,0.008639269,0.009938552788436403
1651,BTC,2022-07-23,2022-06-25,0.009176524,0.008233426910944306
1679,BTC,2022-07-24,2022-06-26,0.008023759,0.008348950620240351
1707,BTC,2022-07-25,2022-06-27,0.008935467,0.010030551488660102
1735,BTC,2022-07-26,2022-06-28,0.011546049,0.008173548837165881
1763,BTC,2022-07-27,2022-06-29,0.011005409,0.012173438931450196
1791,BTC,2022-07-28,2022-06-30,0.010907728,0.013475050955383948
1819,BTC,2022-07-29,2022-07-01,0.010641589,0.01036981337239408
1847,BTC,2022-07-30,2022-07-02,0.008569974,0.009622829995162672
1875,BTC,2022-07-31,2022-07-03,0.008918356,0.007669982608105298
1903,BTC,2022-08-01,2022-07-04,0.007292131,0.00792048344273376
1931,BTC,2022-08-02,2022-07-05,0.009422305,0.008878543905558417
1959,BTC,2022-08-03,2022-07-06,0.00991099,0.007821511014876662
1987,BTC,2022-08-04,2022-07-07,0.010090162,0.007702030363833027
2015,BTC,2022-08-05,2022-07-08,0.012642455,0.008572737480908026
2043,BTC,2022-08-06,2022-07-09,0.01134167,0.003908029603909874
2071,BTC,2022-08-07,2022-07-10,0.009317502,0.00423246047543523
2099,BTC,2022-08-08,2022-07-11,0.0069945734,0.007042642973060727
2127,BTC,2022-08-09,2022-07-12,0.007843273,0.005759156877218713
2155,BTC,2022-08-10,2022-07-13,0.010158615,0.012005844391419877
2183,BTC,2022-08-11,2022-07-14,0.009803783,0.009193611075559717
2211,BTC,2022-08-12,2022-07-15,0.007854711,0.0063805278082395295
2239,BTC,2022-08-13,2022-07-16,0.009369802,0.005894636843490245
2267,BTC,2022-08-14,2022-07-17,0.009847041,0.005805264434270376
2295,BTC,2022-08-15,2022-07-18,0.011632329,0.010325470218441685
2323,BTC,2022-08-16,2022-07-19,0.013140015,0.0061979336967093925
2351,BTC,2022-08-17,2022-07-20,0.011617786,0.008656294693744
2379,BTC,2022-08-18,2022-07-21,0.010937401,0.0046737277844474305
2407,BTC,2022-08-19,2022-07-22,0.010287626,0.013636186842288862
2435,BTC,2022-08-20,2022-07-23,0.010649493,0.00790845567234465
