,unique_id,ds,cutoff,NBEATSx,Real_value
0,BTC,2022-04-29,2022-04-28,0.008328115,0.007457786580099371
1,BTC,2022-04-30,2022-04-28,0.008218842,0.005442896739920222
2,BTC,2022-05-01,2022-04-28,0.008130755,0.007540018039389996
3,BTC,2022-05-02,2022-04-28,0.0079060905,0.007785433454798023
4,BTC,2022-05-03,2022-04-28,0.00858157,0.0051109313665430875
5,BTC,2022-05-04,2022-04-28,0.009132369,0.007769472055470699
6,BTC,2022-05-05,2022-04-28,0.008607515,0.012345491309842404
7,BTC,2022-05-06,2022-04-28,0.007815704,0.008933187451255391
8,BTC,2022-05-07,2022-04-28,0.007862519,0.007161568984853121
9,BTC,2022-05-08,2022-04-28,0.008375029,0.00954634087675491
10,BTC,2022-05-09,2022-04-28,0.008535128,0.017548761345909533
11,BTC,2022-05-10,2022-04-28,0.007815441,0.019765491443525445
12,BTC,2022-05-11,2022-04-28,0.008736233,0.033648370566429595
13,BTC,2022-05-12,2022-04-28,0.008676469,0.029890492585849228
27,BTC,2022-05-13,2022-04-29,0.00854497,0.015466224206770428
41,BTC,2022-05-14,2022-04-30,0.007532029,0.01195376542550756
55,BTC,2022-05-15,2022-05-01,0.0075549236,0.010378170117654488
69,BTC,2022-05-16,2022-05-02,0.007870913,0.013481059957886055
83,BTC,2022-05-17,2022-05-03,0.007072995,0.010260367216851805
97,BTC,2022-05-18,2022-05-04,0.008652331,0.009657862292070022
111,BTC,2022-05-19,2022-05-05,0.009806193,0.010042510509422635
125,BTC,2022-05-20,2022-05-06,0.010121778,0.010714755611841917
139,BTC,2022-05-21,2022-05-07,0.008572739,0.004817360977505108
153,BTC,2022-05-22,2022-05-08,0.008840565,0.007763228852847239
167,BTC,2022-05-23,2022-05-09,0.009632318,0.009222038108099191
181,BTC,2022-05-24,2022-05-10,0.010998826,0.007527076373045803
195,BTC,2022-05-25,2022-05-11,0.012312606,0.007989723281402981
209,BTC,2022-05-26,2022-05-12,0.011035031,0.011579868523878075
223,BTC,2022-05-27,2022-05-13,0.011072723,0.010123111408144623
237,BTC,2022-05-28,2022-05-14,0.009688917,0.005036616182512311
251,BTC,2022-05-29,2022-05-15,0.009305363,0.0043867743706035404
265,BTC,2022-05-30,2022-05-16,0.010816976,0.010985788505857881
279,BTC,2022-05-31,2022-05-17,0.008250484,0.00843062154040176
293,BTC,2022-06-01,2022-05-18,0.010190742,0.010057582808408662
307,BTC,2022-06-02,2022-05-19,0.0106532425,0.006689329394417886
321,BTC,2022-06-03,2022-05-20,0.011277034,0.007055947707981007
335,BTC,2022-06-04,2022-05-21,0.008249582,0.004435380047156246
349,BTC,2022-06-05,2022-05-22,0.010240284,0.00466874199125385
363,BTC,2022-06-06,2022-05-23,0.010541825,0.007979463906419005
377,BTC,2022-06-07,2022-05-24,0.009227991,0.01607361445920668
391,BTC,2022-06-08,2022-05-25,0.008977212,0.012206535232648977
405,BTC,2022-06-09,2022-05-26,0.011527846,0.00564082781802718
419,BTC,2022-06-10,2022-05-27,0.01044123,0.008773355794117286
433,BTC,2022-06-11,2022-05-28,0.008333712,0.008421303827136148
447,BTC,2022-06-12,2022-05-29,0.0085061295,0.013739202804655517
461,BTC,2022-06-13,2022-05-30,0.012489537,0.023680516849632936
475,BTC,2022-06-14,2022-05-31,0.0105528245,0.027043638866488452
489,BTC,2022-06-15,2022-06-01,0.011122748,0.028586690450177463
503,BTC,2022-06-16,2022-06-02,0.009829567,0.014351913831278141
517,BTC,2022-06-17,2022-06-03,0.009635815,0.013609761195769692
531,BTC,2022-06-18,2022-06-04,0.008400347,0.02375417751688861
545,BTC,2022-06-19,2022-06-05,0.007950433,0.024905417363474854
559,BTC,2022-06-20,2022-06-06,0.009544072,0.018072138782730073
573,BTC,2022-06-21,2022-06-07,0.0120696975,0.013655886459304942
587,BTC,2022-06-22,2022-06-08,0.011056578,0.014221995720208106
601,BTC,2022-06-23,2022-06-09,0.008707298,0.012471615643101102
615,BTC,2022-06-24,2022-06-10,0.010228501,0.010069003579168654
629,BTC,2022-06-25,2022-06-11,0.008384918,0.007727528684068052
643,BTC,2022-06-26,2022-06-12,0.009790887,0.008110220063648822
657,BTC,2022-06-27,2022-06-13,0.011732607,0.008416385731782241
671,BTC,2022-06-28,2022-06-14,0.011801182,0.008270978606083718
685,BTC,2022-06-29,2022-06-15,0.011649723,0.008150403141220522
699,BTC,2022-06-30,2022-06-16,0.010808234,0.017136908485843694
713,BTC,2022-07-01,2022-06-17,0.010909915,0.015693119028413166
727,BTC,2022-07-02,2022-06-18,0.011407024,0.006188759424697402
741,BTC,2022-07-03,2022-06-19,0.011208625,0.00881182302833929
755,BTC,2022-07-04,2022-06-20,0.012710724,0.009807204003711704
769,BTC,2022-07-05,2022-06-21,0.012371382,0.011908736001504808
783,BTC,2022-07-06,2022-06-22,0.012275461,0.009551495988334154
797,BTC,2022-07-07,2022-06-23,0.013427362,0.010290041840020277
811,BTC,2022-07-08,2022-06-24,0.0133237615,0.013702277054962226
825,BTC,2022-07-09,2022-06-25,0.011520134,0.0072270199969247054
839,BTC,2022-07-10,2022-06-26,0.011008355,0.007900373970052872
853,BTC,2022-07-11,2022-06-27,0.0104831895,0.008083414270480262
867,BTC,2022-07-12,2022-06-28,0.010205178,0.008516181712098711
881,BTC,2022-07-13,2022-06-29,0.010204114,0.015500303196738542
895,BTC,2022-07-14,2022-06-30,0.014541483,0.011653260355441413
909,BTC,2022-07-15,2022-07-01,0.016075326,0.009656383797987868
923,BTC,2022-07-16,2022-07-02,0.009794103,0.008885391936861808
937,BTC,2022-07-17,2022-07-03,0.011761587,0.008793832328690694
951,BTC,2022-07-18,2022-07-04,0.010830346,0.015940055263382227
965,BTC,2022-07-19,2022-07-05,0.0125329755,0.014505464781709628
979,BTC,2022-07-20,2022-07-06,0.011476591,0.01475158400661286
993,BTC,2022-07-21,2022-07-07,0.012308146,0.011832507067399467
1007,BTC,2022-07-22,2022-07-08,0.013415,0.009938552788436403
1021,BTC,2022-07-23,2022-07-09,0.010242615,0.008233426910944306
1035,BTC,2022-07-24,2022-07-10,0.011354341,0.008348950620240351
1049,BTC,2022-07-25,2022-07-11,0.010671727,0.010030551488660102
1063,BTC,2022-07-26,2022-07-12,0.010873616,0.008173548837165881
1077,BTC,2022-07-27,2022-07-13,0.01425551,0.012173438931450196
1091,BTC,2022-07-28,2022-07-14,0.011154627,0.013475050955383948
1105,BTC,2022-07-29,2022-07-15,0.011625333,0.01036981337239408
1119,BTC,2022-07-30,2022-07-16,0.011685659,0.009622829995162672
1133,BTC,2022-07-31,2022-07-17,0.011961016,0.007669982608105298
1147,BTC,2022-08-01,2022-07-18,0.013410209,0.00792048344273376
1161,BTC,2022-08-02,2022-07-19,0.011758163,0.008878543905558417
1175,BTC,2022-08-03,2022-07-20,0.011807993,0.007821511014876662
1189,BTC,2022-08-04,2022-07-21,0.012017174,0.007702030363833027
1203,BTC,2022-08-05,2022-07-22,0.012046928,0.008572737480908026
1217,BTC,2022-08-06,2022-07-23,0.009657651,0.003908029603909874
1231,BTC,2022-08-07,2022-07-24,0.010566029,0.00423246047543523
1245,BTC,2022-08-08,2022-07-25,0.011040883,0.007042642973060727
1259,BTC,2022-08-09,2022-07-26,0.009403821,0.005759156877218713
1273,BTC,2022-08-10,2022-07-27,0.011428664,0.012005844391419877
1287,BTC,2022-08-11,2022-07-28,0.012117049,0.009193611075559717
1301,BTC,2022-08-12,2022-07-29,0.0113544185,0.0063805278082395295
1315,BTC,2022-08-13,2022-07-30,0.010531425,0.005894636843490245
1329,BTC,2022-08-14,2022-07-31,0.008704141,0.005805264434270376
1343,BTC,2022-08-15,2022-08-01,0.010264341,0.010325470218441685
1357,BTC,2022-08-16,2022-08-02,0.012305996,0.0061979336967093925
1371,BTC,2022-08-17,2022-08-03,0.010416008,0.008656294693744
1385,BTC,2022-08-18,2022-08-04,0.010181642,0.0046737277844474305
1399,BTC,2022-08-19,2022-08-05,0.010510544,0.013636186842288862
1413,BTC,2022-08-20,2022-08-06,0.006718319,0.00790845567234465
1427,BTC,2022-08-21,2022-08-07,0.0076074866,0.00659681421411465
1441,BTC,2022-08-22,2022-08-08,0.009153873,0.007808548637959284
1455,BTC,2022-08-23,2022-08-09,0.008230022,0.007466931477597744
1469,BTC,2022-08-24,2022-08-10,0.011344854,0.006558995217328215
1483,BTC,2022-08-25,2022-08-11,0.0077800695,0.005193836781743487
1497,BTC,2022-08-26,2022-08-12,0.0074785603,0.01160191517144599
1511,BTC,2022-08-27,2022-08-13,0.007844512,0.006193544652286733
1525,BTC,2022-08-28,2022-08-14,0.008808196,0.0060213333435991
1539,BTC,2022-08-29,2022-08-15,0.010193252,0.0066034627055485216
1553,BTC,2022-08-30,2022-08-16,0.0065644663,0.0090906628616562
1567,BTC,2022-08-31,2022-08-17,0.009148685,0.008511491489382758
1581,BTC,2022-09-01,2022-08-18,0.0071136313,0.007634344185980454
1595,BTC,2022-09-02,2022-08-19,0.009582682,0.007659935985923093
1609,BTC,2022-09-03,2022-08-20,0.009356385,0.003663673661931257
1623,BTC,2022-09-04,2022-08-21,0.010407023,0.004997212619826431
1637,BTC,2022-09-05,2022-08-22,0.01009383,0.004648385240304617
1651,BTC,2022-09-06,2022-08-23,0.008063643,0.011952826917848996
1665,BTC,2022-09-07,2022-08-24,0.008484537,0.007687417565605129
1679,BTC,2022-09-08,2022-08-25,0.009237898,0.006663530134789452
1693,BTC,2022-09-09,2022-08-26,0.011145904,0.011313612797475307
1707,BTC,2022-09-10,2022-08-27,0.008358348,0.007729549126446537
1721,BTC,2022-09-11,2022-08-28,0.007862654,0.006672953359832645
1735,BTC,2022-09-12,2022-08-29,0.008859047,0.01062320906166961
1749,BTC,2022-09-13,2022-08-30,0.008195121,0.016043939027114127
1763,BTC,2022-09-14,2022-08-31,0.005966031,0.00913471727731546
1777,BTC,2022-09-15,2022-09-01,0.007650666,0.00881890526084113
1791,BTC,2022-09-16,2022-09-02,0.008197271,0.006856855024230075
1805,BTC,2022-09-17,2022-09-03,0.006306792,0.005140742023595922
1819,BTC,2022-09-18,2022-09-04,0.007091396,0.006637062454724784
1833,BTC,2022-09-19,2022-09-05,0.0053921677,0.014648854145958417
1847,BTC,2022-09-20,2022-09-06,0.0092435675,0.009611094460131983
1861,BTC,2022-09-21,2022-09-07,0.0077025355,0.018116747988092572
1875,BTC,2022-09-22,2022-09-08,0.007767587,0.009852701965104068
1889,BTC,2022-09-23,2022-09-09,0.010126616,0.009375684291532252
1903,BTC,2022-09-24,2022-09-10,0.008249031,0.005750927354880281
1917,BTC,2022-09-25,2022-09-11,0.008132194,0.0056277499920541485
1931,BTC,2022-09-26,2022-09-12,0.009273073,0.008864183233230233
1945,BTC,2022-09-27,2022-09-13,0.01031938,0.014702875325099455
1959,BTC,2022-09-28,2022-09-14,0.0091196485,0.011597998750769771
1973,BTC,2022-09-29,2022-09-15,0.0087601235,0.009964942258769484
1987,BTC,2022-09-30,2022-09-16,0.007921029,0.010495820881893972
2001,BTC,2022-10-01,2022-09-17,0.0073181074,0.003610124585026182
2015,BTC,2022-10-02,2022-09-18,0.007861896,0.004919508106087119
2029,BTC,2022-10-03,2022-09-19,0.0099555645,0.006474153604585765
2043,BTC,2022-10-04,2022-09-20,0.008693736,0.006733316620771562
2057,BTC,2022-10-05,2022-09-21,0.010934616,0.007215654315124109
2071,BTC,2022-10-06,2022-09-22,0.009436288,0.006224517688199758
2085,BTC,2022-10-07,2022-09-23,0.010013633,0.00706527706542354
2099,BTC,2022-10-08,2022-09-24,0.008518806,0.003534098143571044
2113,BTC,2022-10-09,2022-09-25,0.007350809,0.003285858998825638
2127,BTC,2022-10-10,2022-09-26,0.0098415455,0.005899755061454747
