,unique_id,ds,cutoff,NBEATSx,Real_value
13692,ETH,2022-04-29,2022-04-28,0.008524715,0.00850126475098896
13693,ETH,2022-04-30,2022-04-28,0.008355903,0.008225171821674837
13694,ETH,2022-05-01,2022-04-28,0.008128485,0.009347811715374417
13695,ETH,2022-05-02,2022-04-28,0.007769413,0.009151980890347666
13696,ETH,2022-05-03,2022-04-28,0.007913515,0.0061430900031959786
13697,ETH,2022-05-04,2022-04-28,0.009015673,0.010084982196723172
13698,ETH,2022-05-05,2022-04-28,0.008794511,0.011711471207376025
13699,ETH,2022-05-06,2022-04-28,0.00686798,0.0105324318039616
13700,ETH,2022-05-07,2022-04-28,0.006777474,0.008278868707579028
13701,ETH,2022-05-08,2022-04-28,0.008683797,0.010784281359127405
13702,ETH,2022-05-09,2022-04-28,0.008705443,0.019449078375524786
13703,ETH,2022-05-10,2022-04-28,0.008503232,0.021365705188378135
13704,ETH,2022-05-11,2022-04-28,0.009409305,0.04160877593517811
13705,ETH,2022-05-12,2022-04-28,0.009255977,0.04003202319625506
13706,ETH,2022-05-13,2022-04-28,0.008090751,0.019668058215166113
13707,ETH,2022-05-14,2022-04-28,0.006958721,0.01420461033194528
13708,ETH,2022-05-15,2022-04-28,0.007200015,0.010932805024797904
13709,ETH,2022-05-16,2022-04-28,0.0089115705,0.015552151681816324
13710,ETH,2022-05-17,2022-04-28,0.00965683,0.012330833030674572
13711,ETH,2022-05-18,2022-04-28,0.009783065,0.012000316781594468
13712,ETH,2022-05-19,2022-04-28,0.009669564,0.013214788407007039
13733,ETH,2022-05-20,2022-04-29,0.009036111,0.012211681646314521
13754,ETH,2022-05-21,2022-04-30,0.0070651565,0.005946584237044197
13775,ETH,2022-05-22,2022-05-01,0.007294193,0.00788093499855203
13796,ETH,2022-05-23,2022-05-02,0.0082098525,0.010291718417762143
13817,ETH,2022-05-24,2022-05-03,0.007759013,0.009575193950513185
13838,ETH,2022-05-25,2022-05-04,0.0093295025,0.00951364278869533
13859,ETH,2022-05-26,2022-05-05,0.008272647,0.018916686992677078
13880,ETH,2022-05-27,2022-05-06,0.008560742,0.01768074188437176
13901,ETH,2022-05-28,2022-05-07,0.0052329693,0.01036607747419045
13922,ETH,2022-05-29,2022-05-08,0.006423812,0.006712233247673989
13943,ETH,2022-05-30,2022-05-09,0.009250124,0.011677249301813433
13964,ETH,2022-05-31,2022-05-10,0.010490295,0.010767897363693922
13985,ETH,2022-06-01,2022-05-11,0.011791531,0.013400086699549724
14006,ETH,2022-06-02,2022-05-12,0.012725234,0.009690773040349442
14027,ETH,2022-06-03,2022-05-13,0.012934639,0.010210342314404073
14048,ETH,2022-06-04,2022-05-14,0.009523945,0.006226917846668026
14069,ETH,2022-06-05,2022-05-15,0.0125702415,0.007162525071574836
14090,ETH,2022-06-06,2022-05-16,0.0122002065,0.009886785126272746
14111,ETH,2022-06-07,2022-05-17,0.010587836,0.019603269703497947
14132,ETH,2022-06-08,2022-05-18,0.010918811,0.0128051545133743
14153,ETH,2022-06-09,2022-05-19,0.013462765,0.006892258410448218
14174,ETH,2022-06-10,2022-05-20,0.013688293,0.012426147641642425
