,unique_id,ds,cutoff,NHITS,Real_value
3094,ETH,2022-12-09,2022-12-08,0.006526886,0.006889448205031751
3095,ETH,2022-12-10,2022-12-08,0.006701821,0.003605398532708657
3096,ETH,2022-12-11,2022-12-08,0.007226625,0.0036604978378744486
3097,ETH,2022-12-12,2022-12-08,0.0077514295,0.005513163446662178
3098,ETH,2022-12-13,2022-12-08,0.0079122195,0.011145256680865497
3099,ETH,2022-12-14,2022-12-08,0.00807301,0.008127043556330914
3100,ETH,2022-12-15,2022-12-08,0.008126605,0.00596463154346033
3107,ETH,2022-12-16,2022-12-09,0.007693107,0.0117455328526873
3114,ETH,2022-12-17,2022-12-10,0.0066865087,0.005302544361021843
3121,ETH,2022-12-18,2022-12-11,0.006588452,0.0052544614875580375
3128,ETH,2022-12-19,2022-12-12,0.006040483,0.006668186706927687
3135,ETH,2022-12-20,2022-12-13,0.008795505,0.0076334117779356765
3142,ETH,2022-12-21,2022-12-14,0.0070658363,0.004581693502883642
3149,ETH,2022-12-22,2022-12-15,0.006644138,0.008034495032288015
3156,ETH,2022-12-23,2022-12-16,0.009234425,0.004399081696152844
3163,ETH,2022-12-24,2022-12-17,0.006816135,0.002004088201807217
3170,ETH,2022-12-25,2022-12-18,0.00716089,0.005612314054395345
3177,ETH,2022-12-26,2022-12-19,0.007482916,0.003196493219271456
3184,ETH,2022-12-27,2022-12-20,0.0073248,0.003948236745870464
3191,ETH,2022-12-28,2022-12-21,0.006530422,0.006289432818222983
3198,ETH,2022-12-29,2022-12-22,0.009012714,0.0038475414073895946
3205,ETH,2022-12-30,2022-12-23,0.00787674,0.003589063882915074
3212,ETH,2022-12-31,2022-12-24,0.0062407516,0.0026041769349893526
3219,ETH,2023-01-01,2022-12-25,0.0067554307,0.0020591979002773236
3226,ETH,2023-01-02,2022-12-26,0.0058051893,0.004031851003593774
3233,ETH,2023-01-03,2022-12-27,0.006243326,0.0028737166462766022
3240,ETH,2023-01-04,2022-12-28,0.006079476,0.006760570969287136
3247,ETH,2023-01-05,2022-12-29,0.005613356,0.0028668850788248572
3254,ETH,2023-01-06,2022-12-30,0.005035877,0.005029902309708355
3261,ETH,2023-01-07,2022-12-31,0.0051576984,0.0017774511604744588
3268,ETH,2023-01-08,2023-01-01,0.0043602632,0.00529385681589313
3275,ETH,2023-01-09,2023-01-02,0.0049601076,0.0065169155861432735
3282,ETH,2023-01-10,2023-01-03,0.0039765975,0.004469776632928535
3289,ETH,2023-01-11,2023-01-04,0.005946546,0.008382246094154888
3296,ETH,2023-01-12,2023-01-05,0.004428619,0.012467554201832418
3303,ETH,2023-01-13,2023-01-06,0.0054767057,0.007882461905195206
3310,ETH,2023-01-14,2023-01-07,0.003756703,0.020277880226041715
3317,ETH,2023-01-15,2023-01-08,0.005121296,0.007852945599606974
3324,ETH,2023-01-16,2023-01-09,0.0055413274,0.009396104594860987
3331,ETH,2023-01-17,2023-01-10,0.0048739105,0.008418293780213323
3338,ETH,2023-01-18,2023-01-11,0.006705867,0.012447490831138013
3345,ETH,2023-01-19,2023-01-12,0.0076028216,0.006095824743080508
3352,ETH,2023-01-20,2023-01-13,0.006433758,0.00867351483162211
3359,ETH,2023-01-21,2023-01-14,0.010597087,0.009916444911677598
3366,ETH,2023-01-22,2023-01-15,0.0059118695,0.008093880629503359
3373,ETH,2023-01-23,2023-01-16,0.0078085065,0.008983591439979805
3380,ETH,2023-01-24,2023-01-17,0.0075798463,0.00960651949431768
3387,ETH,2023-01-25,2023-01-18,0.0089340005,0.012280919234234093
3394,ETH,2023-01-26,2023-01-19,0.006272746,0.008042648568708574
3401,ETH,2023-01-27,2023-01-20,0.009252744,0.008956685817822838
3408,ETH,2023-01-28,2023-01-21,0.010818249,0.005512163158540907
3415,ETH,2023-01-29,2023-01-22,0.010456779,0.008559259995476846
3422,ETH,2023-01-30,2023-01-23,0.01096365,0.009323226553678485
3429,ETH,2023-01-31,2023-01-24,0.01119207,0.0068764556829570556
3436,ETH,2023-02-01,2023-01-25,0.0122326175,0.009309162918671917
3443,ETH,2023-02-02,2023-01-26,0.009175088,0.013415651954596227
3450,ETH,2023-02-03,2023-01-27,0.00963769,0.007549746591516104
3457,ETH,2023-02-04,2023-01-28,0.0079887295,0.005463067840384497
3464,ETH,2023-02-05,2023-01-29,0.0099786995,0.006169047235303655
3471,ETH,2023-02-06,2023-01-30,0.009503279,0.006952959752583279
3478,ETH,2023-02-07,2023-01-31,0.008666788,0.009124341555671957
3485,ETH,2023-02-08,2023-02-01,0.009630969,0.006437782311492078
3492,ETH,2023-02-09,2023-02-02,0.012065202,0.011213721459722563
3499,ETH,2023-02-10,2023-02-03,0.009455949,0.008484331235069201
3506,ETH,2023-02-11,2023-02-04,0.008672862,0.004289793340434577
3513,ETH,2023-02-12,2023-02-05,0.008963976,0.006000884569186216
3520,ETH,2023-02-13,2023-02-06,0.007950662,0.008951597514806512
3527,ETH,2023-02-14,2023-02-07,0.008890304,0.010516600798351572
3534,ETH,2023-02-15,2023-02-08,0.008722398,0.009627292814201077
3541,ETH,2023-02-16,2023-02-09,0.010804682,0.012054074216114008
3548,ETH,2023-02-17,2023-02-10,0.0092334645,0.00886796001751966
3555,ETH,2023-02-18,2023-02-11,0.007439107,0.004369652432003363
3562,ETH,2023-02-19,2023-02-12,0.008809834,0.006276853066964745
3569,ETH,2023-02-20,2023-02-13,0.009290178,0.006887983461119798
3576,ETH,2023-02-21,2023-02-14,0.009316071,0.008771941675690594
3583,ETH,2023-02-22,2023-02-15,0.009482235,0.008192316611792178
3590,ETH,2023-02-23,2023-02-16,0.01052177,0.00854160953261845
3597,ETH,2023-02-24,2023-02-17,0.009610025,0.007893298576162985
3604,ETH,2023-02-25,2023-02-18,0.007150577,0.005642238059876676
3611,ETH,2023-02-26,2023-02-19,0.00891285,0.005749368060643949
3618,ETH,2023-02-27,2023-02-20,0.008636494,0.006347736830605033
3625,ETH,2023-02-28,2023-02-21,0.008843061,0.006327618051680773
3632,ETH,2023-03-01,2023-02-22,0.008713191,0.007557263367256994
3639,ETH,2023-03-02,2023-02-23,0.009650797,0.005452122101870502
3646,ETH,2023-03-03,2023-02-24,0.009098296,0.013993922668654018
3653,ETH,2023-03-04,2023-02-25,0.0075478842,0.0033758700817466715
3660,ETH,2023-03-05,2023-02-26,0.007890889,0.005215313554863009
3667,ETH,2023-03-06,2023-02-27,0.00801437,0.003978556884118725
3674,ETH,2023-03-07,2023-02-28,0.007087728,0.005543055669535307
3681,ETH,2023-03-08,2023-03-01,0.00755544,0.005679175363354593
3688,ETH,2023-03-09,2023-03-02,0.007093946,0.013786631822212679
3695,ETH,2023-03-10,2023-03-03,0.0104389405,0.012821419266481261
3702,ETH,2023-03-11,2023-03-04,0.0039089574,0.012277980212553666
3709,ETH,2023-03-12,2023-03-05,0.0073763514,0.013372382001590539
3716,ETH,2023-03-13,2023-03-06,0.006797458,0.013088423592039248
3723,ETH,2023-03-14,2023-03-07,0.0065261065,0.014383275088519486
3730,ETH,2023-03-15,2023-03-08,0.0060835974,0.010801445964474245
3737,ETH,2023-03-16,2023-03-09,0.010442129,0.00832830424261043
3744,ETH,2023-03-17,2023-03-10,0.010698944,0.011527795062309092
3751,ETH,2023-03-18,2023-03-11,0.010963015,0.01119411654600341
3758,ETH,2023-03-19,2023-03-12,0.011814926,0.009628527822835764
3765,ETH,2023-03-20,2023-03-13,0.012125399,0.009856816426990834
3772,ETH,2023-03-21,2023-03-14,0.012638411,0.010070226753507015
3779,ETH,2023-03-22,2023-03-15,0.010698963,0.011119390348116105
3786,ETH,2023-03-23,2023-03-16,0.009293234,0.011298098544098762
3793,ETH,2023-03-24,2023-03-17,0.012053731,0.00866237337992552
3800,ETH,2023-03-25,2023-03-18,0.010237298,0.006078338906275914
3807,ETH,2023-03-26,2023-03-19,0.010886997,0.007989965490165278
3814,ETH,2023-03-27,2023-03-20,0.010519302,0.008020145300716222
3821,ETH,2023-03-28,2023-03-21,0.011512111,0.009030357813855921
3828,ETH,2023-03-29,2023-03-22,0.011586463,0.006717428031529876
3835,ETH,2023-03-30,2023-03-23,0.011855597,0.008710743260985898
3842,ETH,2023-03-31,2023-03-24,0.0110716745,0.006762316755714082
3849,ETH,2023-04-01,2023-03-25,0.010015897,0.0038325753952161232
3856,ETH,2023-04-02,2023-03-26,0.009742331,0.005084687165028391
3863,ETH,2023-04-03,2023-03-27,0.009650421,0.009786715125504325
3870,ETH,2023-04-04,2023-03-28,0.009337295,0.007201625104929023
3877,ETH,2023-04-05,2023-03-29,0.009296902,0.00836330651987101
3884,ETH,2023-04-06,2023-03-30,0.009702127,0.005460928444791293
3891,ETH,2023-04-07,2023-03-31,0.00888651,0.00490832831156626
3898,ETH,2023-04-08,2023-04-01,0.0077774087,0.003525554377170909
3905,ETH,2023-04-09,2023-04-02,0.007970127,0.004955811084905386
3912,ETH,2023-04-10,2023-04-03,0.009102443,0.005632789166431995
3919,ETH,2023-04-11,2023-04-04,0.008028861,0.005446370454362836
3926,ETH,2023-04-12,2023-04-05,0.008573208,0.008162827217385028
3933,ETH,2023-04-13,2023-04-06,0.007817257,0.007939914905799
3940,ETH,2023-04-14,2023-04-07,0.0072790077,0.013510807158476426
3947,ETH,2023-04-15,2023-04-08,0.0063292244,0.0053025476104356165
3954,ETH,2023-04-16,2023-04-09,0.0067165387,0.006115223526410141
3961,ETH,2023-04-17,2023-04-10,0.00648017,0.006801034162494859
3968,ETH,2023-04-18,2023-04-11,0.006708914,0.006014542818841752
3975,ETH,2023-04-19,2023-04-12,0.008250146,0.012509208382043347
3982,ETH,2023-04-20,2023-04-13,0.007189819,0.008437111310186944
3989,ETH,2023-04-21,2023-04-14,0.009963896,0.008746769200762096
3996,ETH,2023-04-22,2023-04-15,0.0069576995,0.004542128911953971
4003,ETH,2023-04-23,2023-04-16,0.008084737,0.0058200863357897046
4010,ETH,2023-04-24,2023-04-17,0.0074083586,0.00858353593023747
4017,ETH,2023-04-25,2023-04-18,0.006047328,0.0066497292771854465
4024,ETH,2023-04-26,2023-04-19,0.00899019,0.01861377098623498
4031,ETH,2023-04-27,2023-04-20,0.0079171,0.012063510374504087
4038,ETH,2023-04-28,2023-04-21,0.008322117,0.0051714124053305706
4045,ETH,2023-04-29,2023-04-22,0.006983873,0.003980193862409988
4052,ETH,2023-04-30,2023-04-23,0.008128692,0.005978822281925429
4059,ETH,2023-05-01,2023-04-24,0.009707946,0.008944349567065458
4066,ETH,2023-05-02,2023-04-25,0.008386002,0.005736118459788217
4073,ETH,2023-05-03,2023-04-26,0.014084527,0.006865164070935497
4080,ETH,2023-05-04,2023-04-27,0.012161373,0.004342407092749254
4087,ETH,2023-05-05,2023-04-28,0.008790136,0.007767340595938877
4094,ETH,2023-05-06,2023-04-29,0.0074887434,0.008034148225231326
4101,ETH,2023-05-07,2023-04-30,0.009352006,0.007088763683159056
4108,ETH,2023-05-08,2023-05-01,0.008683818,0.008901671829344726
4115,ETH,2023-05-09,2023-05-02,0.008082162,0.005040628684255976
4122,ETH,2023-05-10,2023-05-03,0.009897609,0.010319686969711334
4129,ETH,2023-05-11,2023-05-04,0.009043322,0.006785824331065852
4136,ETH,2023-05-12,2023-05-05,0.008955451,0.00856853436825309
4143,ETH,2023-05-13,2023-05-06,0.009575097,0.004213356824978144
4150,ETH,2023-05-14,2023-05-07,0.0085479645,0.0038998469316170545
4157,ETH,2023-05-15,2023-05-08,0.0086276615,0.006155767830633049
4164,ETH,2023-05-16,2023-05-09,0.005833031,0.004309405738614112
4171,ETH,2023-05-17,2023-05-10,0.0079710595,0.005086005213440213
4178,ETH,2023-05-18,2023-05-11,0.007174222,0.006493577853948002
4185,ETH,2023-05-19,2023-05-12,0.008514032,0.003651369519998509
4192,ETH,2023-05-20,2023-05-13,0.0063446215,0.0026577695635639073
4199,ETH,2023-05-21,2023-05-14,0.0061113928,0.002958622140908811
4206,ETH,2023-05-22,2023-05-15,0.0076828785,0.0038526861315612455
4213,ETH,2023-05-23,2023-05-16,0.0067717643,0.0054586756328217625
4220,ETH,2023-05-24,2023-05-17,0.007319162,0.0062448257272309906
4227,ETH,2023-05-25,2023-05-18,0.0072852233,0.005443325606392943
4234,ETH,2023-05-26,2023-05-19,0.007145366,0.003730374503424318
4241,ETH,2023-05-27,2023-05-20,0.0057961512,0.0027283647619394053
4248,ETH,2023-05-28,2023-05-21,0.005891847,0.00670772661188972
4255,ETH,2023-05-29,2023-05-22,0.0049914005,0.004445036684668765
4262,ETH,2023-05-30,2023-05-23,0.0055271955,0.004187129839387526
4269,ETH,2023-05-31,2023-05-24,0.005259817,0.005067422301353719
4276,ETH,2023-06-01,2023-05-25,0.0056344755,0.005304913695481793
4283,ETH,2023-06-02,2023-05-26,0.004583267,0.004499992283677972
4290,ETH,2023-06-03,2023-05-27,0.004238723,0.0025692305362107534
4297,ETH,2023-06-04,2023-05-28,0.0061417753,0.0032059746902569773
4304,ETH,2023-06-05,2023-05-29,0.0049055032,0.008050977105147496
4311,ETH,2023-06-06,2023-05-30,0.0047331923,0.006536459106964271
4318,ETH,2023-06-07,2023-05-31,0.005625059,0.0063293339981164674
4325,ETH,2023-06-08,2023-06-01,0.0052712583,0.003655087212703327
