,unique_id,ds,cutoff,NBEATSx,Real_value
9226,ETH,2022-04-29,2022-04-28,0.009501416,0.00850126475098896
9227,ETH,2022-04-30,2022-04-28,0.009101691,0.008225171821674837
9228,ETH,2022-05-01,2022-04-28,0.009390609,0.009347811715374417
9229,ETH,2022-05-02,2022-04-28,0.009618839,0.009151980890347666
9230,ETH,2022-05-03,2022-04-28,0.00951075,0.0061430900031959786
9231,ETH,2022-05-04,2022-04-28,0.009028726,0.010084982196723172
9232,ETH,2022-05-05,2022-04-28,0.009443823,0.011711471207376025
9233,ETH,2022-05-06,2022-04-28,0.008832414,0.0105324318039616
9234,ETH,2022-05-07,2022-04-28,0.009207195,0.008278868707579028
9235,ETH,2022-05-08,2022-04-28,0.009354361,0.010784281359127405
9236,ETH,2022-05-09,2022-04-28,0.009341393,0.019449078375524786
9237,ETH,2022-05-10,2022-04-28,0.009403283,0.021365705188378135
9238,ETH,2022-05-11,2022-04-28,0.00962335,0.04160877593517811
9239,ETH,2022-05-12,2022-04-28,0.009684396,0.04003202319625506
9253,ETH,2022-05-13,2022-04-29,0.010204962,0.019668058215166113
9267,ETH,2022-05-14,2022-04-30,0.008840369,0.01420461033194528
9281,ETH,2022-05-15,2022-05-01,0.009169823,0.010932805024797904
9295,ETH,2022-05-16,2022-05-02,0.010562308,0.015552151681816324
9309,ETH,2022-05-17,2022-05-03,0.008518554,0.012330833030674572
9323,ETH,2022-05-18,2022-05-04,0.010307265,0.012000316781594468
9337,ETH,2022-05-19,2022-05-05,0.011437907,0.013214788407007039
9351,ETH,2022-05-20,2022-05-06,0.010670383,0.012211681646314521
9365,ETH,2022-05-21,2022-05-07,0.010371294,0.005946584237044197
9379,ETH,2022-05-22,2022-05-08,0.011525532,0.00788093499855203
9393,ETH,2022-05-23,2022-05-09,0.010409266,0.010291718417762143
9407,ETH,2022-05-24,2022-05-10,0.012148574,0.009575193950513185
9421,ETH,2022-05-25,2022-05-11,0.01576668,0.00951364278869533
9435,ETH,2022-05-26,2022-05-12,0.016268693,0.018916686992677078
9449,ETH,2022-05-27,2022-05-13,0.017216168,0.01768074188437176
9463,ETH,2022-05-28,2022-05-14,0.010798879,0.01036607747419045
9477,ETH,2022-05-29,2022-05-15,0.009009462,0.006712233247673989
9491,ETH,2022-05-30,2022-05-16,0.009601079,0.011677249301813433
9505,ETH,2022-05-31,2022-05-17,0.008607331,0.010767897363693922
9519,ETH,2022-06-01,2022-05-18,0.010182153,0.013400086699549724
9533,ETH,2022-06-02,2022-05-19,0.01065618,0.009690773040349442
9547,ETH,2022-06-03,2022-05-20,0.013327647,0.010210342314404073
9561,ETH,2022-06-04,2022-05-21,0.008424209,0.006226917846668026
9575,ETH,2022-06-05,2022-05-22,0.009314272,0.007162525071574836
9589,ETH,2022-06-06,2022-05-23,0.010087292,0.009886785126272746
9603,ETH,2022-06-07,2022-05-24,0.010299672,0.019603269703497947
9617,ETH,2022-06-08,2022-05-25,0.010447431,0.0128051545133743
9631,ETH,2022-06-09,2022-05-26,0.014838932,0.006892258410448218
9645,ETH,2022-06-10,2022-05-27,0.014834611,0.012426147641642425
9659,ETH,2022-06-11,2022-05-28,0.013731837,0.019790986929464856
9673,ETH,2022-06-12,2022-05-29,0.010694092,0.02127710756222699
9687,ETH,2022-06-13,2022-05-30,0.01400481,0.03527763542622073
9701,ETH,2022-06-14,2022-05-31,0.013526129,0.035481944662919804
9715,ETH,2022-06-15,2022-06-01,0.013876835,0.04507289800957512
9729,ETH,2022-06-16,2022-06-02,0.0118589215,0.02234398318993087
9743,ETH,2022-06-17,2022-06-03,0.011021581,0.01881205343297139
9757,ETH,2022-06-18,2022-06-04,0.009669717,0.029744331274362556
9771,ETH,2022-06-19,2022-06-05,0.00998407,0.032489482075634686
9785,ETH,2022-06-20,2022-06-06,0.009790356,0.024427119080317257
9799,ETH,2022-06-21,2022-06-07,0.01354919,0.01698432110958289
9813,ETH,2022-06-22,2022-06-08,0.013495043,0.017156692934488484
9827,ETH,2022-06-23,2022-06-09,0.00975835,0.015293651653230112
9841,ETH,2022-06-24,2022-06-10,0.013620071,0.014755812451114968
9855,ETH,2022-06-25,2022-06-11,0.013369875,0.01386767173737999
9869,ETH,2022-06-26,2022-06-12,0.014456144,0.013356208682747662
9883,ETH,2022-06-27,2022-06-13,0.014403041,0.011809127608249814
9897,ETH,2022-06-28,2022-06-14,0.015337428,0.012848731891188996
9911,ETH,2022-06-29,2022-06-15,0.020445496,0.012501590576834056
9925,ETH,2022-06-30,2022-06-16,0.016131727,0.02026792818628445
9939,ETH,2022-07-01,2022-06-17,0.012564767,0.018226021302431502
9953,ETH,2022-07-02,2022-06-18,0.014830833,0.010474422259987294
9967,ETH,2022-07-03,2022-06-19,0.016656168,0.011164718755646836
9981,ETH,2022-07-04,2022-06-20,0.0161048,0.01472665442450379
9995,ETH,2022-07-05,2022-06-21,0.013452297,0.014470710737981677
10009,ETH,2022-07-06,2022-06-22,0.014975179,0.014403815582794651
10023,ETH,2022-07-07,2022-06-23,0.017028656,0.011088415783985861
10037,ETH,2022-07-08,2022-06-24,0.016204208,0.01472842702751668
10051,ETH,2022-07-09,2022-06-25,0.01490638,0.007144219981616526
10065,ETH,2022-07-10,2022-06-26,0.013366785,0.008914254458119934
10079,ETH,2022-07-11,2022-06-27,0.01165987,0.01073856543889006
10093,ETH,2022-07-12,2022-06-28,0.01285938,0.010611080189038571
10107,ETH,2022-07-13,2022-06-29,0.0132644335,0.020833582080328646
10121,ETH,2022-07-14,2022-06-30,0.017475825,0.01715981223980163
10135,ETH,2022-07-15,2022-07-01,0.017659057,0.015513412071371139
10149,ETH,2022-07-16,2022-07-02,0.010792998,0.02375094704828828
10163,ETH,2022-07-17,2022-07-03,0.010605227,0.015406942405858338
